CODIGO,nombre,CATEGORIA,FECHA_INSTALACION,altitud,latitud,longitud,FECHA_SUSPENSION,ENTIDAD
26090590,OSOS LOS  [26090590],Pluviométrica,1969-08-15 00:00:00,2500.0,3.5,-76.13333333,1975-07-15 00:00:00,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090600,CAMPOHERMOSO  [26090600],Pluviométrica,1971-05-15 00:00:00,1900.0,3.86666667,-76.15,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090610,BALCILLAS  [26090610],Pluviométrica,1969-08-15 00:00:00,2400.0,3.48333333,-76.15,1982-02-15 00:00:00,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090620,ANGOSTURAS  [26090620],Pluviométrica,1971-11-15 00:00:00,1221.0,3.98333333,-76.2,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090630,GUACARI [26090630],Pluviométrica,1972-01-15 00:00:00,990.0,3.77013889,-76.33194444,,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
26090640,ORISOL  [26090640],Pluviométrica,1971-01-15 00:00:00,2600.0,3.56666667,-76.1,1975-08-15 00:00:00,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090650,POBLADO EL  [26090650],Pluviométrica,1971-02-15 00:00:00,950.0,4.1,-76.25,,ESTACIONES PARTICULARES
26090660,PAN DE AZUCAR [26090660],Pluviométrica,1972-09-15 00:00:00,3900.0,3.71666667,-76.11666667,1995-08-15 00:00:00,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
26090670,ROSARIO EL HDA  [26090670],Pluviométrica,1960-05-15 00:00:00,3000.0,3.58333333,-76.3,1965-04-15 00:00:00,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI
26090680,ALGODONERA GJA  [26090680],Pluviográfica,1939-04-15 00:00:00,1000.0,3.9,-76.28333332999999,1944-04-15 00:00:00,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI
26090690,LA CEJA - AUT [26090690],Limnigráfica,2017-06-30 19:00:00,3052.0,3.70638611,-76.01649167000001,,CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090700,JARDIN BOTANICO  [26090700],Pluviométrica,1971-05-15 00:00:00,970.0,4.08333333,-76.25,,ESTACIONES PARTICULARES
26090710,TENERIFE [26090710],Pluviométrica,1970-12-15 00:00:00,2609.0,3.61666667,-76.03333332999999,1972-01-15 00:00:00,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
26090720,RITA  [26090720],Pluviométrica,1937-03-15 00:00:00,1000.0,3.56666667,-76.28333332999999,,ESTACIONES PARTICULARES
26090730,BETANIA  [26090730],Pluviométrica,1978-02-15 00:00:00,1026.0,3.65,-76.26666666999999,,ESTACIONES PARTICULARES
